Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 14-Dec-2024 at 15:53:29.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first   6 modes printed


 -------- Mode No.   1  (freq = 0.42632E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.4800	-0.001673	-0.009653	 0.000000	-0.000133	 0.040504
 0.5600	-0.002385	-0.007585	-0.000011	-0.000138	 0.095841
 0.6400	-0.002658	 0.001055	-0.000021	-0.000100	 0.174033
 0.7200	-0.001942	 0.016760	-0.000025	 0.000003	 0.261718
 0.8000	 0.000293	 0.038277	-0.000014	 0.000277	 0.335051
 0.9000	 0.005950	 0.070639	 0.000041	 0.000753	 0.386691
 1.0000	 0.015361	 0.104841	 0.000144	 0.001147	 0.385969


 -------- Mode No.   4  (freq = 0.11270E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000003	-0.000068	 0.000306	 0.007374	-0.000011
 0.1600	-0.000016	-0.000236	 0.001231	 0.015480	-0.000029
 0.2400	-0.000092	-0.001531	 0.003327	 0.035813	-0.000168
 0.3200	-0.000216	-0.001601	 0.006988	 0.054559	-0.000643
 0.4000	-0.000280	-0.000353	 0.012123	 0.071815	-0.001831
 0.4800	-0.000283	 0.000163	 0.018179	 0.075884	-0.002676
 0.5600	-0.000238	 0.000965	 0.023033	 0.042031	-0.005125
 0.6400	-0.000119	 0.002006	 0.023411	-0.034225	-0.011591
 0.7200	 0.000087	 0.002915	 0.015829	-0.154092	-0.023476
 0.8000	 0.000274	 0.001546	-0.002616	-0.300752	-0.037415
 0.9000	 0.000233	-0.001851	-0.044966	-0.514231	-0.048885
 1.0000	-0.000114	-0.004193	-0.113675	-0.756856	-0.051337


 -------- Mode No.   5  (freq = 0.15892E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	 0.000043	 0.001022	 0.000001	 0.000024	-0.000041
 0.1600	 0.000166	 0.002016	 0.000003	 0.000036	-0.000108
 0.2400	 0.000394	 0.003568	 0.000003	-0.000039	-0.000695
 0.3200	 0.000761	 0.005406	 0.000002	 0.000027	-0.003425
 0.4000	 0.001281	 0.007031	 0.000012	 0.000164	-0.017149
 0.4800	 0.001730	 0.003537	 0.000025	 0.000162	-0.041689
 0.5600	 0.001580	-0.007211	 0.000035	 0.000073	-0.052072
 0.6400	 0.000414	-0.020565	 0.000032	-0.000137	-0.006628
 0.7200	-0.001497	-0.024573	 0.000011	-0.000377	 0.120279
 0.8000	-0.002818	-0.006094	-0.000022	-0.000390	 0.292892
 0.9000	 0.000003	 0.058857	-0.000031	 0.000202	 0.461573
 1.0000	 0.012811	 0.157266	 0.000042	 0.000942	 0.451874


 -------- Mode No.   6  (freq = 0.19379E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0800	-0.000001	-0.000030	 0.000363	 0.008590	-0.000042
 0.1600	-0.000009	-0.000147	 0.001395	 0.016689	-0.000108
 0.2400	-0.000062	-0.001018	 0.003415	 0.032081	-0.000619
 0.3200	-0.000134	-0.000769	 0.006327	 0.039062	-0.002370
 0.4000	-0.000170	-0.000284	 0.009211	 0.031168	-0.007154
 0.4800	-0.000161	 0.000625	 0.010006	-0.012340	-0.011714
 0.5600	-0.000036	 0.002210	 0.006098	-0.082072	-0.019075
 0.6400	 0.000146	 0.002032	-0.002855	-0.133357	-0.028600
 0.7200	 0.000207	-0.000614	-0.013351	-0.117061	-0.030611
 0.8000	 0.000034	-0.003039	-0.017975	 0.008330	-0.017695
 0.9000	-0.000228	-0.001701	 0.001604	 0.351696	 0.002442
 1.0000	-0.000272	-0.000062	 0.076524	 0.906657	 0.005853
=================================================================================
